id,name,category_id
1,샤브샤브,1
2,육회,
3,연포탕,
4,버섯전골,2
5,쑥전,
6,미나리삼겹살,
7,월남쌈,3
8,연어회,
9,훈제오리냉채,
10,조개찜,4
11,대구지리탕,
12,방어회,
13,타코,5
14,치킨,
15,나쵸,
16,양갈비,
